 (Half Day),（半天）
Payment Gateway Account,支付网关账户
Payment Gateway Details,支付网关信息
Payment Gateway Name,支付网关名称
Payment Gateway,支付网关
Payment Gateways,支付网关
Payment Invoice Items,付款发票项
Payment Ledger Entry,付款核销台账
Payment Ledger,付款核销台账
Payment Limit,付款限额
Payment Mode,付款方式
Payment Name,付款名称
Payment of {0} from {1} to {2},从{1}到{2}的{0}付款
Payment Order Reference,付款订单参考
Payment Order Status,付款订单状态
Payment Order Type,付款订单类型
Payment Order,付款单
Payment Ordered,付款指令已下达
Payment Period Based On Invoice Date,应收/应付款账龄(基于发票日)
Payment Plan,付款计划
Payment Receipt Note,付款收据
Payment Reconciliation Invoice,付款发票对账
Payment Reconciliation Payment,付款方式付款对账
Payment Reconciliation,付款核销
Payment Reconciliations,付款核销
Payment Reference,付款凭据
Payment References,付款参考
Payment Request already exists {0},收款申请已经存在{0}
Payment Request for {0},收款申请{0}
Payment Request Type,收款申请类型
Payment request {0} created,已创建收款申请{0}
Payment Request,付款申请
Payment Schedule Table,付款计划明细表
Payment Schedule,付款计划
Payment Success Url,付款成功网址
Payment Success,支付成功
Payment Tems,付款方式
Payment Term Name,付款条款名称
Payment Term,付款条款
Payment Terms based on conditions,付款条款基于条件
Payment Terms from orders will be fetched into the invoices as is,从销售订单复制付款条款
Payment Terms Status for Sales Order,销售订单分期付款追踪表
Payment Terms Template Detail,付款条款模板信息
Payment Terms Template,付款条款模板
Payment Terms,付款条件
Payment Type,付款类型
Payment,付款
Payments,付款
PayPal payment gateway settings,贝宝支付网关设置
PayPal Settings,贝宝设置
Payroll Cost Center,工资记账成本中心
Payroll date can not be less than employee's joining date,工资日期不能低于员工的加入日期
Payroll Date,工资日期
Payroll Employee Detail,薪资员工详细信息
Payroll Entry,工资计算
Payroll Frequency,工资发放频率
Payroll Number,工资号码
Payroll Payable,应付职工薪资
Payroll Period Date,工资期间日期
Payroll Period,工资期间
Payroll Periods,工资期间
Payroll Settings,薪资设置
Payroll Setup,工资单设置
Payroll,薪资
Payslip,工资单
PDC/LC Amount,部分支付金额
PDC/LC Date,部分支付日期
PDC/LC Ref,部分支付参考号码
PDC/LC,部分支付
PDF generation failed because of broken image links,PDF生成，因为破碎的图像链接失败
PDF generation failed,PDF生成失败
PDF Page Size,PDF页面大小
PDF Settings,PDF设置
pencil,铅笔
Pending activities for today,今天待定活动
Pending Activities,待办事项
Pending Amount,待付款金额
Pending Approval,待批准
Pending Leaves,待审批的休假
Pending Purchase Orders,待处理采购订单
Pending Qty,待处理数量
Pending Quantity,待处理数量
Pending Quotations,待处理报价
Pending Review,待审核
Pending Sales Orders,待处理销售订单
Pending SO Items For Purchase Request,待采购销售订单明细
Pending Verification,待验证
Pending,待处理
Pension Funds,养老基金
People who teach at your organisation,在贵组织中做教育培训的人
per hour,每小时
Per Month,每月
Per Received,收货百分比
Per Transferred,调拨%
Per Week,每周
Per Year,每年
Percent Complete,完成百分比
Percent Deduction,税率（%）
Percent,百分比
Percentage Allocation should be equal to 100%,百分比分配应该等于100 ％
Percentage Allocation,分摊百分比
Percentage you are allowed to bill more against the amount ordered. For example: If the order value is $100 for an item and tolerance is set as 10% then you are allowed to bill for $110.,允许超过订单金额的%开出发票，比如订单100元，容差10%，最大开票金额就是110元
Percentage you are allowed to order beyond the Blanket Order quantity.,允许超出一揽子订单入库数量百分比
Percentage you are allowed to receive or deliver more against the quantity ordered. For example: If you have ordered 100 units. and your Allowance is 10% then you are allowed to receive 110 units.,允许超出订单数量出入库百分比。例如：订单数量100。允许超收/发10％，那么最多可收/发数量是110。
Percentage you are allowed to sell beyond the Blanket Order quantity.,允许超出一揽子订单出库数量百分比
Percentage you are allowed to transfer more against the quantity ordered. For example: If you have ordered 100 units. and your Allowance is 10% then you are allowed to transfer 110 units.,允许超订单需求量发料百分比。例如需求100个，最多允许超10％，则最多可发料110个,
Percentage,百分比
Perception Analysis,客户意向分析
Perennial,多年生
Performance,绩效
Period based On,决定期间的日期
Period Based On,期间基于
Period Closing Entry,期末结账凭证
Period Closing Settings,期末结账设置
Period Closing Voucher,期末结账凭证
Period End Date,期末结束日期
Period Name,期间名称
Period Score,本期得分
PERIOD SETTINGS,期间设置
Period Settings,期间设置
Period Start Date,期间开始日期
Period,期间
Periodicity,频率
Perm Level,权限级别
Permanent Address Is,永久地址类型
Permanent Address,永久地址
Permanent,常驻
Permanently Cancel {0}?,取消{0} ？
Permanently delete {0}?,永久删除{0} ？
Permanently Submit {0}?,提交{0} ？
Permission Error,权限错误
Permission Level,权限级别
Permission Levels,权限级别
Permission Manager,角色权限管理
Permission Query,列表权限过滤
Permission Rules,权限规则
Permissions are automatically applied to Standard Reports and searches.,权限会自动应用于标准报表和搜索。
Permissions at higher levels are Field Level permissions. All Fields have a Permission Level set against them and the rules defined at that permissions apply to the field. This is useful in case you want to hide or make certain field read-only for certain Roles.,更高级权限是字段级权限。可以为每个字段设置所需的权限等级，特定的角色被分配对应的权限等级，据此就可以用不同的角色限制不同的用户有不同的字段访问权限。
Permissions can be managed via Setup &gt; Role Permissions Manager,权限可以通过设置＆gt进行管理;角色权限管理
Permissions get applied on Users based on what Roles they are assigned.,权限检查基于已分派给用户的角色。
Permissions Settings,权限设置
Permissions,权限
Permitted Documents For User,用户被授权单据
Permitted Roles,被授权的角色
Person Name,姓名
Person Responsible,负责人
Personal and Social History,个人和社会史
Personal Bio,个人履历
Personal Data Deletion Request,个人数据删除请求
Personal Data Download Request,个人资料下载请求
Personal Details,个人资料
Personal Email,个人电子邮件
Personal,个人
Petrol,汽油
Pharmaceutical,医药
Pharmaceuticals,制药
Phone (Office),电话（办公室）
Phone (R),电话（R）
Phone Ext.,分机号
Phone No,电话号码
Phone No.,电话号码
Phone Number,电话
Phone,电话
Physician,医师
Pick Batch No,选批号
Pick Columns,选择报表输出字段
Pick List Item,拣货单明细,
Pick List, 拣货单
Pick/Drop by Guardian,由监护人接送
Picked Qty (in Stock UOM),拣货数量(库存单位)
Picked Qty,拣货数量
Pickup Contact Person,提货联络人
Pickup Date,提货日期
Pickup from,提货开始日间
Pickup to,提货截止时间
Pickup Type,提货类型
Pickup,提货
picture,图片
Pie,饼图
Piecework,计件工
Pin Code,PIN码
Pin To Bottom,置底
Pin To Top,置顶
PIN,邮政编码
Pincode,邮政编号
Place of Issue,签发地点
Place Of Supply (State/UT),供应地点（州/ UT）
Place of Supply,供货地点
Place Order,下单
PLACES,地点
Places,网站
Plaid Access Token,格子访问令牌
Plaid authentication error,格子认证错误
Plaid public token error,格子公共令牌错误
Plaid Settings,格子设置
Plaid transactions sync error,格子交易同步错误
Plan for maintenance visits.,维护巡修计划。
Plan material for sub-assemblies,在本工单耗用生产子件下层物料，无需额外生产工单
Plan Name,计划名称
Plan time logs outside Workstation working hours,允许工作站非工作时间登记工时
Plan time logs outside Workstation Working Hours.,允许在工站非工作时间安排工序。
Plan to Request Qty,计划数量
Plan,计划
plane,飞机
Planned End Date,计划结束日期
Planned End Time,计划结束时间
Planned number of Positions,计划的职位数量
Planned Operating Cost,计划工费成本
Planned Qty,工单数量
Planned Quantity,工单数量
Planned Start Date,计划开始日期
Planned Start Time,计划开始时间
Planned,计划
Planning,计划
Plans,计划
Plant Analysis Criteria,植物分析标准
Plant Analysis Criterias,植物分析标准
Plant Analysis,植物分析
Plant,工厂
Planting Area,种植面积
Planting UOM,种植UOM
Plants and Machineries,植物和机械设备
play,玩
play-circle,玩圈
Please add a rating,请添加评分
Please add a subject to your email,请在您的电子邮件中添加主题
